model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-10.0,0.3914289121274595,4155735,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-8.0,0.3617432205765336,3840567,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-6.0,0.32588921064212,3459911,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-4.0,0.28360814224054787,3011020,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-2.0,0.23554389859423225,2500730,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,0.0,0.1834723390178916,1947895,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,2.0,0.1314478744695216,1395560,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,4.0,0.0850039823555652,902473,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,6.0,0.049356154453607255,524006,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,8.0,0.02643104835792824,280614,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,10.0,0.014052873776282794,149197,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,12.0,0.007953690893856096,84443,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,14.0,0.004825827516155478,51235,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,16.0,0.0031258853865258488,33187,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,18.0,0.0021178634078414353,22485,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,20.0,0.0015401957947530863,16352,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-10.0,0.3809479136525849,4044460,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-8.0,0.35018958574459874,3717904,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-6.0,0.3130335866669078,3323425,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-4.0,0.26928456624348956,2858949,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-2.0,0.2193320945457176,2328612,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,0.0,0.16520332995756173,1753936,10616832,6
