model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
real_imag_cnn,umi_normalized,tdl_A_100ns,-10.0,0.39066126317153743,4147585,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,-8.0,0.36064571804470485,3828915,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,-6.0,0.3245794979142554,3446006,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,-4.0,0.28227827284071183,2996901,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,-2.0,0.23430492259837962,2487576,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,0.0,0.18236089635778358,1936095,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,2.0,0.13061137258270641,1386679,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,4.0,0.08445965802228009,896694,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,6.0,0.049122751494984566,521528,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,8.0,0.02646863019024884,281013,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,10.0,0.014203201105565201,150793,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,12.0,0.008055416154272762,85523,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,14.0,0.004955244653018905,52609,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,16.0,0.0032067946445794755,34046,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,18.0,0.0021797462745949073,23142,10616832,6
real_imag_cnn,umi_normalized,tdl_A_100ns,20.0,0.0015854070216049384,16832,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,-10.0,0.3825958628713349,4061956,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,-8.0,0.3516442569685571,3733348,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,-6.0,0.3144040519808545,3337975,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,-4.0,0.2706478731131848,2873423,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,-2.0,0.22075794361255788,2343750,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,0.0,0.166595458984375,1768716,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,2.0,0.11218704412012924,1191071,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,4.0,0.06430703622323496,682737,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,6.0,0.029327298388069058,311363,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,8.0,0.010087754991319444,107100,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,10.0,0.0029411786868248457,31226,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,12.0,0.001126513069058642,11960,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,14.0,0.0006931446216724537,7359,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,16.0,0.0005014678578317901,5324,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,18.0,0.0003978587962962963,4224,10616832,6
real_imag_cnn,umi_normalized,tdl_A_10ns,20.0,0.00033380955825617286,3544,10616832,6
real_imag_cnn,umi_normalized,tdl_A_300ns,-10.0,0.3996513272509163,4243031,10616832,6
real_imag_cnn,umi_normalized,tdl_A_300ns,-8.0,0.369693238058208,3924971,10616832,6
real_imag_cnn,umi_normalized,tdl_A_300ns,-6.0,0.3339030889817226,3544993,10616832,6
real_imag_cnn,umi_normalized,tdl_A_300ns,-4.0,0.2919762693805459,3099863,10616832,6
