model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,-10.0,0.39139594560788,4155385,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,-8.0,0.3610024157865548,3832702,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,-6.0,0.3247687257366416,3448015,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,-4.0,0.2823146302023052,2997287,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,-2.0,0.23423022988401812,2486783,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,0.0,0.18230965696735146,1935551,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,2.0,0.13047046425901812,1385183,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,4.0,0.08424236156322339,894387,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,6.0,0.04895217330367477,519717,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,8.0,0.026317549340518904,279409,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,10.0,0.014111177420910493,149816,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,12.0,0.008046468098958334,85428,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,14.0,0.004942528995466821,52474,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,16.0,0.003196998878761574,33942,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,18.0,0.0021445191936728396,22768,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_100ns,20.0,0.001501672061873071,15943,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,-10.0,0.38394749017409335,4076306,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,-8.0,0.35263711434823497,3743889,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,-6.0,0.3153227817865066,3347729,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,-4.0,0.27143445427035107,2881774,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,-2.0,0.22150628360701197,2351695,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,0.0,0.16705312846619405,1773575,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,2.0,0.11252396195023148,1194648,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,4.0,0.06439114794319059,683630,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,6.0,0.029322683075327934,311314,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,8.0,0.010048854498215664,106687,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,10.0,0.002959168987509645,31417,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,12.0,0.0011999813126929012,12740,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,14.0,0.0007608672718942901,8078,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,16.0,0.0005664589964313271,6014,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,18.0,0.0004555031105324074,4836,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_10ns,20.0,0.0003895700713734568,4136,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,-10.0,0.39911811734423225,4237370,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,-8.0,0.3691796196831597,3919518,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,-6.0,0.33319666356216243,3537493,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,-4.0,0.29132136592158564,3092910,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,-2.0,0.24416228871286652,2592230,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,0.0,0.19371513084129052,2056641,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,2.0,0.14364567509403936,1525062,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,4.0,0.09850669201509452,1045829,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,6.0,0.06302115357952354,669085,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,8.0,0.03832659309293017,406907,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,10.0,0.022896189748505016,243085,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,12.0,0.013876361611448689,147323,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,14.0,0.008626490463445217,91586,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,16.0,0.005515581295814043,58558,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,18.0,0.0035876992308063274,38090,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_300ns,20.0,0.0024288789725597994,25787,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,-10.0,0.3853353806483893,4091041,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,-8.0,0.35428807764877507,3761417,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,-6.0,0.31724651948905286,3368153,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,-4.0,0.27373871979890047,2906238,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,-2.0,0.22426219045380016,2380954,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,0.0,0.1703124811619888,1808179,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,2.0,0.11635674370659722,1235340,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,4.0,0.0685174259138696,727438,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,6.0,0.033219325689621916,352684,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,8.0,0.012991257655767747,137926,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,10.0,0.004669001073013117,49570,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,12.0,0.0020805641456886573,22089,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,14.0,0.0012010174033082561,12751,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,16.0,0.0008046656479070216,8543,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,18.0,0.0005781385633680555,6138,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_A_30ns,20.0,0.00044683762538580245,4744,10616832,6
real_imag_cnn,umi_uma_mix_normalized,tdl_B_100ns,-10.0,0.39176564157744986,4159310,10616832,6
