model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-10.0,0.3948072268639082,4191602,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-8.0,0.36281717559437693,3851969,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-6.0,0.32526463638117287,3453280,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-4.0,0.2819687643168885,2993615,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,-2.0,0.2334606029369213,2478612,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,0.0,0.18119962715808255,1923766,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,2.0,0.12938294587311922,1373637,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,4.0,0.08307091983748072,881950,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,6.0,0.04800104211877893,509619,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,8.0,0.025640699598524306,272223,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,10.0,0.013631090705777392,144719,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,12.0,0.007696646231192129,81714,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,14.0,0.004661277488425926,49488,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,16.0,0.0029540827244888116,31363,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,18.0,0.0019220422815393518,20406,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_100ns,20.0,0.0012993518217110339,13795,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-10.0,0.3901253217532311,4141895,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-8.0,0.35680389404296875,3788127,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-6.0,0.3177308447567033,3373295,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-4.0,0.27263095055097414,2894477,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,-2.0,0.22164521393952547,2353170,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,0.0,0.16650221082899305,1767726,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,2.0,0.11144539161964699,1183197,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,4.0,0.06308699242862655,669784,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,6.0,0.028096516927083332,298296,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,8.0,0.00917260440779321,97384,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,10.0,0.0023638878339602622,25097,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,12.0,0.0007442898220486111,7902,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,14.0,0.0003813755365065586,4049,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,16.0,0.00023396809895833334,2484,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,18.0,0.0001476900077160494,1568,10616832,6
single_branch_n0_gate,tdl_A_10_30_100_mix_normalized,tdl_A_10ns,20.0,9.654480733989198e-05,1025,10616832,6
