model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
single_branch_n0_gate,umi_normalized,tdl_A_100ns,-10.0,0.3952348497178819,4196142,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,-8.0,0.3631434499481578,3855433,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,-6.0,0.3255735797646605,3456560,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,-4.0,0.2820885740680459,2994887,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,-2.0,0.2336343835901331,2480457,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,0.0,0.18138838403018903,1925770,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,2.0,0.12949559718002507,1374833,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,4.0,0.08327088532624422,884073,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,6.0,0.04826882444782021,512462,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,8.0,0.025846599060812114,274409,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,10.0,0.013812029803240741,146640,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,12.0,0.007813536090615355,82955,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,14.0,0.004744824068045911,50375,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,16.0,0.0030085245768229165,31941,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,18.0,0.00195453785083912,20751,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_100ns,20.0,0.0012929468979070216,13727,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,-10.0,0.3908195024655189,4149265,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,-8.0,0.3571916745032793,3792244,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,-6.0,0.31806823353708524,3376877,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,-4.0,0.2729521386417342,2897887,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,-2.0,0.2220324292595004,2357281,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,0.0,0.166868515956549,1771615,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,2.0,0.11183091151861498,1187290,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,4.0,0.0634471752025463,673608,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,6.0,0.028469603738667054,302257,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,8.0,0.009457340946903935,100407,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,10.0,0.0025799598222897378,27391,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,12.0,0.0009072386188271605,9632,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,14.0,0.0005036342291184413,5347,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,16.0,0.00032118809076003087,3410,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,18.0,0.00021578941816165122,2291,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_10ns,20.0,0.00015296465084876543,1624,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,-10.0,0.3995158819504726,4241593,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,-8.0,0.368217091501495,3909299,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,-6.0,0.33172663935908564,3521886,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,-4.0,0.2897860680097415,3076610,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,-2.0,0.24278447657455632,2577602,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,0.0,0.19267762737509644,2045626,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,2.0,0.14268192244164737,1514830,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,4.0,0.09793100239318094,1039717,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_300ns,6.0,0.06256310733748072,664222,10616832,6
