epoch,lr,train_bce,train_ber,train_bit_errors,train_valid_bits,val_bce,val_ber,val_bit_errors,val_valid_bits
1,0.001,0.4102600442391855,0.1997447337962963,6903178,34560000,0.3418854550962095,0.1661579861111111,1148484,6912000
2,0.001,0.3202521689803512,0.1560712962962963,5393824,34560000,0.30226467076054325,0.1493347800925926,1032202,6912000
3,0.001,0.3025472861113372,0.14916096643518517,5155003,34560000,0.29397715307165073,0.14533072916666667,1004526,6912000
4,0.001,0.2956104405155888,0.14656438078703704,5065265,34560000,0.2909710385357892,0.14510503472222222,1002966,6912000
5,0.001,0.284425035321271,0.14133697916666665,4884606,34560000,0.28468144678186486,0.14155063657407407,978398,6912000
6,0.001,0.2821024238021285,0.14067471064814815,4861718,34560000,0.279113771226671,0.13980396412037038,966325,6912000
7,0.001,0.2834197196395309,0.1410064525462963,4873183,34560000,0.2757123497856988,0.13803515625,954099,6912000
8,0.001,0.2757464570787218,0.1373764178240741,4747729,34560000,0.2776727470115379,0.13949305555555555,964176,6912000
9,0.001,0.27745933945267287,0.1388363136574074,4798183,34560000,0.2720547567296911,0.13628776041666665,942021,6912000
10,0.001,0.27119800389607746,0.13531157407407407,4676368,34560000,0.2708346515231662,0.13530150462962964,935204,6912000
11,0.001,0.27353931005972404,0.1353402488425926,4677359,34560000,0.2710210644757306,0.1351423611111111,934104,6912000
12,0.001,0.271387048791956,0.13476770833333335,4657572,34560000,0.2680779509367766,0.13340393518518517,922088,6912000
13,0.001,0.2665320797955548,0.1319773148148148,4561136,34560000,0.2678716074625651,0.1328269675925926,918100,6912000
14,0.001,0.263922194897687,0.13052786458333332,4511043,34560000,0.2636198026869032,0.13042418981481482,901492,6912000
15,0.001,0.26591750205711084,0.13134545717592594,4539299,34560000,0.26486399134883176,0.13070905671296296,903461,6912000
16,0.001,0.2580045722113715,0.12736400462962963,4401700,34560000,0.2610852265534577,0.12934953703703703,894064,6912000
17,0.001,0.2685029917399089,0.1324154224537037,4576277,34560000,0.2593904317220052,0.12843648726851853,887753,6912000
18,0.001,0.2583570528383608,0.12769936342592592,4413290,34560000,0.25873234077736185,0.12811588541666666,885537,6912000
19,0.001,0.26515585864031754,0.1311392361111111,4532172,34560000,0.257810376767759,0.1275753761574074,881801,6912000
20,0.001,0.25651513677526405,0.12662230902777777,4376067,34560000,0.2579711484555845,0.12762948495370371,882175,6912000
21,0.001,0.2580061014246058,0.12746744791666667,4405275,34560000,0.25860269221553095,0.12733333333333333,880128,6912000
22,0.001,0.2575948412294741,0.12735381944444443,4401348,34560000,0.2560907892297815,0.12680092592592593,876448,6912000
23,0.001,0.25723417807685006,0.12681267361111112,4382646,34560000,0.2551702089662905,0.12624146412037038,872581,6912000
24,0.001,0.2565940319767705,0.12687957175925926,4384958,34560000,0.25512409577546297,0.12640870949074073,873737,6912000
25,0.001,0.25681842510082104,0.12661979166666668,4375980,34560000,0.2542793629964193,0.12588888888888888,870144,6912000
26,0.001,0.2546994913736979,0.12585480324074075,4349542,34560000,0.2537971959997106,0.12571354166666668,868932,6912000
27,0.001,0.25498610286006224,0.1259330150462963,4352245,34560000,0.26074485581009477,0.1291953125,892998,6912000
28,0.001,0.2538816526342321,0.12514820601851853,4325122,34560000,0.2531444094622577,0.12530555555555556,866112,6912000
29,0.001,0.2503971515231662,0.12369244791666667,4274811,34560000,0.25365693014639396,0.12559273726851852,868097,6912000
30,0.001,0.2539572775381583,0.12561487268518517,4341250,34560000,0.255271317658601,0.12648480902777778,874263,6912000
31,0.001,0.2537328568070023,0.12518836805555555,4326510,34560000,0.2515248548719618,0.12457711226851852,861077,6912000
32,0.001,0.2558291053771973,0.12650601851851853,4372048,34560000,0.25108792792426216,0.12439612268518518,859826,6912000
33,0.001,0.2524135173373752,0.12459673032407408,4306063,34560000,0.2534130243372034,0.12554991319444445,867801,6912000
34,0.001,0.2507761258725767,0.12371171875,4275477,34560000,0.253128663804796,0.12508955439814815,864619,6912000
35,0.001,0.250636984761556,0.12389050925925926,4281656,34560000,0.25202139508282695,0.12481134259259259,862696,6912000
36,0.001,0.24906757823802805,0.12275170717592593,4242299,34560000,0.2515189983226635,0.1244056712962963,859892,6912000
37,0.001,0.2543348469486943,0.12586061921296296,4349743,34560000,0.2508678068938079,0.12405338541666666,857457,6912000
38,0.001,0.2519518901683666,0.12454172453703703,4304162,34560000,0.25023107627586083,0.12391912615740741,856529,6912000
39,0.001,0.25126350125913266,0.12417783564814815,4291586,34560000,0.25227989168520326,0.12496310763888889,863745,6912000
40,0.001,0.252160062041106,0.12468032407407408,4308952,34560000,0.2495168982611762,0.12340321180555555,852963,6912000
41,0.001,0.25073583515308523,0.12393489583333334,4283190,34560000,0.24919795905219183,0.12335865162037037,852655,6912000
42,0.001,0.2493952094184028,0.12319152199074074,4257499,34560000,0.25065470321090133,0.12414496527777778,858090,6912000
43,0.001,0.24734578354446976,0.12226400462962964,4225444,34560000,0.2485622126261393,0.12298365162037037,850063,6912000
44,0.001,0.2500748129385489,0.1237265625,4275990,34560000,0.2514287018952546,0.12453110532407408,860759,6912000
45,0.001,0.2491310720373083,0.12288078703703703,4246760,34560000,0.2495695730138708,0.12344791666666667,853272,6912000
