epoch,lr,train_bce,train_ber,train_bit_errors,train_valid_bits,val_bce,val_ber,val_bit_errors,val_valid_bits
1,0.001,0.47891515028211806,0.24317641782407406,8404177,34560000,0.37510600676359956,0.17694401041666666,1223037,6912000
2,0.001,0.34659706468935364,0.16532757523148148,5713721,34560000,0.33244083404541014,0.15948972800925926,1102393,6912000
3,0.001,0.3172993835731789,0.15344129050925925,5302931,34560000,0.3080625186496311,0.15026186342592593,1038610,6912000
4,0.001,0.30641269356056494,0.14931744791666668,5160411,34560000,0.29658134121365015,0.14447164351851852,998588,6912000
5,0.001,0.2885784662882487,0.14086061921296297,4868143,34560000,0.28876759338378905,0.14126953125,976455,6912000
6,0.001,0.28637442731504087,0.14034479166666666,4850316,34560000,0.2850293132640697,0.13981814236111112,966423,6912000
7,0.001,0.2848284180393925,0.13951461226851852,4821625,34560000,0.27847181193033854,0.13672974537037036,945076,6912000
8,0.001,0.27664205537018954,0.13548828125,4682475,34560000,0.274640183907968,0.1355361689814815,936826,6912000
9,0.001,0.28006062102141205,0.137425,4749408,34560000,0.2700689635100188,0.13314699074074074,920312,6912000
10,0.001,0.2696319104795103,0.13257890625,4581927,34560000,0.28048480055067276,0.1375324074074074,950624,6912000
11,0.001,0.2695410337660048,0.1322640335648148,4571045,34560000,0.26833990563286675,0.13195124421296298,912047,6912000
12,0.001,0.2649688848424841,0.13020277777777778,4499808,34560000,0.2655667634186921,0.13098582175925927,905374,6912000
13,0.001,0.2647480517352069,0.12995558449074074,4491265,34560000,0.26621357048882377,0.13093171296296297,905000,6912000
14,0.001,0.264066865935149,0.12922453703703704,4466000,34560000,0.26113804428665727,0.12827662037037038,886648,6912000
15,0.001,0.2627407881560149,0.12883677662037038,4452599,34560000,0.2620810467755353,0.1280256076388889,884913,6912000
16,0.001,0.2543829478793674,0.1244572337962963,4301242,34560000,0.25749353083857784,0.12626822916666666,872766,6912000
17,0.001,0.25969933112815574,0.1274859375,4405914,34560000,0.2539264452898944,0.12494372106481481,863611,6912000
18,0.001,0.25520672663935906,0.12522722800925926,4327853,34560000,0.2589182840983073,0.12738961226851853,880517,6912000
19,0.001,0.25684969420256437,0.12607230902777777,4357059,34560000,0.25233591602466726,0.12390321180555555,856419,6912000
20,0.001,0.2515794401945891,0.12317497106481481,4256927,34560000,0.2501925523546007,0.12291290509259259,849574,6912000
21,0.001,0.2522276208383066,0.12382902199074074,4279531,34560000,0.25094879150390625,0.122921875,849636,6912000
22,0.001,0.25217922823870625,0.12374398148148148,4276592,34560000,0.24879174691659434,0.12241652199074074,846143,6912000
23,0.001,0.2500964106807002,0.12264849537037037,4238732,34560000,0.24917714888961226,0.12266623263888889,847869,6912000
24,0.001,0.24986352685998986,0.12284586226851851,4245553,34560000,0.24759498765733506,0.12189800347222222,842559,6912000
25,0.001,0.24700346724898728,0.12085347222222222,4176696,34560000,0.24914929170961733,0.1221668113425926,844417,6912000
26,0.001,0.24911512027316624,0.12220222800925926,4223309,34560000,0.24733193008987991,0.12154788773148148,840139,6912000
27,0.001,0.24639551304004811,0.12094788773148148,4179959,34560000,0.25393400347674333,0.12295804398148148,849886,6912000
28,0.001,0.24811921759711372,0.12146999421296296,4198003,34560000,0.24548254874900535,0.12082233796296296,835124,6912000
29,0.001,0.24370280580873843,0.11955830439814814,4131935,34560000,0.24680599184389468,0.12135561342592592,838810,6912000
30,0.001,0.24417894038447627,0.12008318865740741,4150075,34560000,0.24431542657922817,0.12026880787037036,831298,6912000
31,0.001,0.2454476597538701,0.12047421875,4163589,34560000,0.24534161603009258,0.12060069444444445,833592,6912000
32,0.001,0.24959964449847186,0.12271880787037037,4241162,34560000,0.2438332711678964,0.12002025462962963,829580,6912000
33,0.001,0.24458532454879195,0.12004186921296296,4148647,34560000,0.24911942093460648,0.12230787037037037,845392,6912000
34,0.001,0.24344689709698714,0.11928657407407407,4122544,34560000,0.24278837020308883,0.11942288773148148,825451,6912000
35,0.001,0.24310256183765552,0.11947022569444445,4128891,34560000,0.24541703852900754,0.12045572916666666,832590,6912000
36,0.001,0.2410432046395761,0.11814586226851852,4083121,34560000,0.2439487612688983,0.12011241319444445,830217,6912000
37,0.001,0.24587261629457827,0.12099392361111111,4181550,34560000,0.24281271531846788,0.11958449074074073,826568,6912000
38,0.001,0.24330594900625724,0.11954007523148148,4131305,34560000,0.241616576300727,0.11911371527777778,823314,6912000
39,0.001,0.24290026878074364,0.11928781828703704,4122587,34560000,0.24173541033709492,0.11891999421296297,821975,6912000
40,0.001,0.24378912777370876,0.1199115162037037,4144142,34560000,0.24418493313259548,0.11919328703703704,823864,6912000
41,0.001,0.24359976128472222,0.1196761574074074,4136008,34560000,0.24236187998453776,0.11887905092592592,821692,6912000
42,0.001,0.24174941050211587,0.11880601851851852,4105936,34560000,0.2415929797137225,0.11891276041666667,821925,6912000
43,0.001,0.23943317325733326,0.11786148726851851,4073293,34560000,0.24140678603560836,0.11880353009259259,821170,6912000
44,0.001,0.24313908451221608,0.1195298900462963,4130953,34560000,0.24517532574688947,0.12049117476851852,832835,6912000
45,0.001,0.2407819354587131,0.11826903935185185,4087378,34560000,0.2409630872938368,0.11868518518518519,820352,6912000
46,0.001,0.24472010560212312,0.12042329282407407,4161829,34560000,0.24039164168746383,0.11837847222222223,818232,6912000
47,0.001,0.2406252687242296,0.11798949652777778,4077717,34560000,0.24093904057255497,0.11863151041666667,819981,6912000
48,0.001,0.243447341410319,0.11969910300925926,4136801,34560000,0.2397114950109411,0.11804456018518518,815924,6912000
49,0.001,0.23947148019296152,0.11777236689814814,4070213,34560000,0.2401364220513238,0.11819444444444445,816960,6912000
50,0.001,0.23781659910413955,0.11670677083333333,4033386,34560000,0.23983722262912327,0.11814973958333333,816651,6912000
