ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.4268867924528302,362,848,0.09471223139412997,69393,0.39399902447871893,0.460433982137714
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.41037735849056606,348,848,0.09185965889238294,67303,0.3777460889500774,0.4438169514184534
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.2845394736842105,346,1216,0.06319292153996102,66392,0.25988908738996624,0.3105468932770727
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.2878289473684211,350,1216,0.06397626553362573,67215,0.26308118037770195,0.31391302959213035
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.2108644859813084,361,1712,0.0434217073381793,64228,0.19219963558977216,0.23082398065946363
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.19567757009345793,335,1712,0.04336627076843198,64146,0.1775751989394633,0.21514258705215658
9.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.13050314465408805,332,2544,0.026810086914744933,58929,0.11796842861175909,0.14415206421113988
9.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.139937106918239,356,2544,0.029507064552760306,64857,0.12699824849794947,0.15396172110393927
11.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.0847672064777328,335,3952,0.017007621551207077,58073,0.07648129866524112,0.09385956707349305
11.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.09058704453441295,358,3952,0.018537554824561403,63297,0.08203157179240783,0.09993766694328493
