ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.18691588785046728,320,1712,0.034906109380408445,51632,0.16915759204498643,0.2060760611057012
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.18457943925233644,316,1712,0.03469382788161994,51318,0.1669154411021037,0.20365577662433532
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.10955882352941176,298,2720,0.019715073529411764,46332,0.0983669411868985,0.12185199148196525
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.1161764705882353,316,2720,0.02206265318627451,51849,0.10467191548202981,0.12876364544668373
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.06620209059233449,304,4592,0.011506777084139889,45653,0.059367216027689046,0.07376214979201318
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.06990418118466898,321,4592,0.012356685136791844,49025,0.06288299223188591,0.07764436594778874
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.04111842105263158,300,7296,0.006941906270305393,43760,0.03679846703214823,0.04592133753169585
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.0434484649122807,317,7296,0.007509346826267057,47337,0.03900592513755645,0.04837151482724779
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.02532181571815718,299,11808,0.004283426804175449,43700,0.022638852848493332,0.028313529209704605
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.026507452574525744,313,11808,0.004336749096657633,44244,0.02376041178668498,0.029562472796256085
