ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.10876225490196079,355,3264,0.02212300574164851,62389,0.09853761899655714,0.11990671736923061
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.11274509803921569,368,3264,0.02291978712781409,64636,0.10234675003487054,0.12405390867018484
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.06426553672316385,364,5664,0.013710904804875497,67097,0.05816986209357053,0.07095186160633132
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.067090395480226,380,5664,0.014428971476773383,70611,0.060864078586382285,0.07390353345258018
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.03975340136054422,374,9408,0.008202731324011087,66676,0.035989582579806376,0.04389292097809992
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.039540816326530615,372,9408,0.008351344009826152,67884,0.035787201121650174,0.04367030590210274
9.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.023397104446742503,362,15472,0.004699199749128653,62818,0.02113091446584457,0.02589990196875064
9.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.024172699069286454,374,15472,0.004910752757669769,65646,0.02186818216913442,0.02671343846979831
11.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.0124,248,20000,0.0025359953703703703,43822,0.010957248978851095,0.014030024583062134
11.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx8_seed0.pt,128,uniform,2,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.01255,251,20000,0.0024922453703703704,43066,0.01109810844521095,0.014189107505885451
